stop_lat,wheelchair_boarding,zone_id,stop_lon,stop_id,stop_desc,stop_name,location_type,stop_code
38.707066,1,,-90.311787,9160,FAR SIDE NATURAL BRIDGE @ UNIVERSITY WB,NATURAL BRIDGE @ UNIVERSITY WB,0,9160
38.582679,2,,-90.277832,16079,FAR SIDE KINGSHIGHWAY @ DELOR NB,KINGSHIGHWAY @ DELOR NB,0,16079
38.749448,1,,-90.287904,3625,FAR SIDE CHAMBERS @ ARGENT WB,CHAMBERS @ ARGENT WB,0,3625
38.700889,2,,-90.362092,4446,FAR SIDE WOODSON @ LACKLAND NB,WOODSON @ LACKLAND NB,0,4446
38.798161,2,,-90.337369,5745,NEAR SIDE 546 NORTH LINDBERGH NB,546 NORTH LINDBERGH NB,0,5745
38.679442,2,,-90.438987,16076,FAR SIDE CRAIG @ CRAIGVIEW SB,CRAIG @ CRAIGVIEW SB,0,16076
38.679762,2,,-90.439153,16075,FAR SIDE CRAIG @ CRAIGVIEW NB,CRAIG @ CRAIGVIEW NB,0,16075
38.732373,2,,-90.350557,16074,MID-BLOCK NATURAL BRIDGE @ BRENTON WB,NATURAL BRIDGE @ BRENTON WB,0,16074
38.548826,2,,-90.013148,11542,NEAR SIDE MEMORIAL @ HIGH FOREST EB,MEMORIAL @ HIGH FOREST EB,0,11542
38.548811,2,,-90.011436,11543,NEAR SIDE MEMORIAL @ ROYAL HEIGHTS EB,MEMORIAL @ ROYAL HEIGHTS EB,0,11543
38.593301,1,,-90.225751,4024,NEAR SIDE CHEROKEE @ JEFFERSON EB,CHEROKEE @ JEFFERSON EB,0,4024
38.548823,2,,-90.014149,11541,NEAR SIDE MEMORIAL @ 39TH STREET EB,MEMORIAL @ 39TH STREET EB,0,11541
38.593796,1,,-90.229824,4022,FAR SIDE CHEROKEE @ CALIFORNIA EB,CHEROKEE @ CALIFORNIA EB,0,4022
38.608777,2,,-90.048873,11547,NEAR SIDE ILLINOIS ROUTE 157 @ GARDEN NB,ILLINOIS ROUTE 157 @ GARDEN NB,0,11547
38.556217,2,,-90.018275,11545,FAR SIDE FLANAGAN @ IDA NB,FLANAGAN @ IDA NB,0,11545
38.611161,2,,-90.047564,11548,FAR SIDE ILLINOIS ROUTE 157 @ TUCKER NB,ILLINOIS ROUTE 157 @ TUCKER NB,0,11548
38.612663,2,,-90.046729,11549,NEAR SIDE ILLINOIS ROUTE 157 @ RAUCKMAN NB,ILLINOIS ROUTE 157 @ RAUCKMAN NB,0,11549
38.597733,1,,-90.242928,4116,FAR SIDE GRAND @ UTAH PLACE NB,GRAND @ UTAH PLACE NB,0,4116
38.736335,2,,-90.307774,3726,FAR SIDE SUBURBAN @ HERN EB,SUBURBAN @ HERN EB,0,3726
38.588254,1,,-90.244178,8804,FAR SIDE CHIPPEWA @ GRAND EB,CHIPPEWA @ GRAND EB,0,8804
38.687021,1,,-90.328709,5988,FAR SIDE NORTH HANLEY @ MONROE NB,NORTH HANLEY @ MONROE NB,0,5988
38.688488,1,,-90.328724,5989,NEAR SIDE NORTH HANLEY @ ALERT NB,NORTH HANLEY @ ALERT NB,0,5989
38.505797,2,,-90.295988,3924,NEAR SIDE TELEGRAPH RD @ SYLVANWOOD TERR SB,TELEGRAPH RD @ SYLVANWOOD TERR SB,0,3924
38.679892,2,,-90.328679,5983,FAR SIDE NORTH HANLEY @ MILAN NB,NORTH HANLEY @ MILAN NB,0,5983
38.674937,2,,-90.330341,5980,FAR SIDE NORTH HANLEY @ CARLETON NB,NORTH HANLEY @ CARLETON NB,0,5980
38.677267,2,,-90.328562,5981,FAR SIDE NORTH HANLEY @ CANTON NB,NORTH HANLEY @ CANTON NB,0,5981
38.684788,1,,-90.32874,5986,FAR SIDE NORTH HANLEY @ WASHINGTON NB,NORTH HANLEY @ WASHINGTON NB,0,5986
38.683125,1,,-90.328706,5985,NEAR SIDE NORTH HANLEY @ PAGE NB,NORTH HANLEY @ PAGE NB,0,5985
38.576107,1,,-90.637581,16253,NEAR SIDE MANCHESTER @ EATHERTON EB,MANCHESTER @ EATHERTON EB,0,16253
38.734011,2,,-90.315686,3722,NEAR SIDE DADE @ SUBURBAN SB,DADE @ SUBURBAN SB,0,3722
38.560891,2,,-90.247341,3996,FAR SIDE MICHIGAN @ FILLMORE NB,MICHIGAN @ FILLMORE NB,0,3996
38.559574,1,,-90.248929,3995,FAR SIDE MICHIGAN @ BOWEN NB,MICHIGAN @ BOWEN NB,0,3995
38.557805,1,,-90.251098,3994,FAR SIDE MICHIGAN @ HOLLY HILLS NB,MICHIGAN @ HOLLY HILLS NB,0,3994
