block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_65496,18246,1,1,TO RIVERVIEW TC,111067,3_merged_3090848,3065378
b_65784,18256,1,0,TO CIVIC CENTER TC,111123,3_merged_3090848,3072392
b_62574,18248,1,0,TO SO COUNTY MALL,111074,2_merged_3090849,3065865
b_65321,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063968
b_65492,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063969
b_65491,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063964
b_65321,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063965
b_65492,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063966
b_65491,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063967
b_65492,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063960
b_65491,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063961
b_65321,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063962
b_65492,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063963
b_65322,18246,1,1,TO RIVERVIEW TC,111067,3_merged_3090848,3065374
b_69121,18282,1,1,CAHOKIA - TO CAMP JACKSON & PARIS,111257,1_merged_3090847,3073019
b_62575,18248,1,0,TO SO COUNTY MALL,111074,2_merged_3090849,3065864
b_6512,18217,1,0,TO BRENTWOOD I-64 TC,110969,3_merged_3090848,3061694
a_62531,18320,1,0,TO LOUGHBOROUGH COMMONS,111423,1_merged_3090844,3084325
a_6275,18293,1,0,TO CATALAN TC,111339,2_merged_3090846,3080958
a_6274,18293,1,0,TO CATALAN TC,111339,2_merged_3090846,3080959
a_6275,18293,1,0,TO CATALAN TC,111339,2_merged_3090846,3080956
a_6274,18293,1,0,TO CATALAN TC,111339,2_merged_3090846,3080957
a_6275,18293,1,0,TO CATALAN TC,111339,2_merged_3090846,3080954
a_6275,18293,1,0,TO CATALAN TC,111339,2_merged_3090846,3080955
a_6271,18293,1,0,TO CATALAN TC,111339,2_merged_3090846,3080952
a_6272,18293,1,0,TO CATALAN TC,111339,2_merged_3090846,3080953
a_6271,18293,1,0,TO CATALAN TC,111339,2_merged_3090846,3080950
a_6272,18293,1,0,TO CATALAN TC,111339,2_merged_3090846,3080951
b_65655,18251,1,0,TO NORTH HANLEY TC,111096,2_merged_3090849,3066306
b_6511,18217,1,0,TO BRENTWOOD I-64 TC,110969,3_merged_3090848,3061695
b_65473,18245,1,0,TO RIVERVIEW TC,111061,1_merged_3090847,3065060
b_6511,18217,1,0,TO MALLINCKRODT CENTER TC ONLY,110970,3_merged_3090848,3061696
